GRID_ID,time,nbart_blue_mean,nbart_green_mean,nbart_red_mean,nbart_nir_1_mean,nbart_swir_2_mean,nbart_swir_3_mean
DIP-3644,2025-05-31,320.9879150390625,554.40966796875,353.8632202148437,2450.330810546875,1051.6533203125,452.8263244628906
DIP-3644,2025-06-30,278.3345947265625,511.11767578125,314.0712585449219,2478.7412109375,1023.6641235351562,420.6285095214844
DIP-3644,2025-07-31,257.0610656738281,501.9357604980469,316.1380310058594,2434.37158203125,1072.2060546875,451.8619689941406
DIP-3644,2025-08-31,238.99237060546875,450.4573669433594,301.69403076171875,2216.257080078125,1055.0655517578125,448.48919677734375
DIP-3644,2025-09-30,307.93511962890625,516.919189453125,360.6921081542969,2304.158447265625,1264.0826416015625,556.421142578125
DIP-3644,2025-10-31,604.6348876953125,773.475830078125,604.3778686523438,2521.22021484375,1458.83837890625,702.5152587890625
DIP-3644,2025-11-30,411.7735290527344,593.0534057617188,412.9465637207031,2328.532958984375,1253.2799072265625,564.1463012695312
DIP-3644,2025-12-31,299.6972045898437,503.1463012695313,327.0140075683594,2354.18310546875,1169.5140380859375,513.4719848632812
DIP-3645,2025-01-31,871.8578491210938,963.191650390625,838.7747192382812,2445.9345703125,1512.3115234375,996.5431518554688
DIP-3645,2025-02-28,336.1738586425781,518.2265014648438,340.9847717285156,2290.177001953125,1112.30517578125,490.49365234375
DIP-3645,2025-03-31,6534.8544921875,6399.89697265625,6392.859375,7167.83251953125,2703.4892578125,2337.4580078125
DIP-3645,2025-04-30,245.6986083984375,416.86041259765625,268.23858642578125,2105.599609375,970.7836303710938,423.8946838378906
DIP-3645,2025-05-31,320.0799560546875,497.634521484375,355.5088806152344,2145.636474609375,1010.6402587890624,463.6307067871094
DIP-3645,2025-06-30,286.3153686523437,461.3978576660156,317.9955444335937,2177.973388671875,1006.29443359375,449.8001403808594
DIP-3645,2025-07-31,258.08819580078125,440.3788146972656,305.8197937011719,2130.146484375,1018.3578491210938,453.9631958007813
DIP-3645,2025-08-31,237.65609741210935,392.3381958007813,285.9302062988281,1959.5660400390625,992.4016723632812,447.8629455566406
DIP-3645,2025-09-30,309.615478515625,465.6053161621094,337.7271423339844,2096.204345703125,1193.501953125,547.4149780273438
DIP-3645,2025-10-31,651.5457153320312,769.8286743164062,601.3159790039062,2394.077392578125,1430.3184814453125,718.9885864257812
DIP-3645,2025-11-30,417.55963134765625,559.3515014648438,408.0824890136719,2241.314697265625,1217.0684814453125,610.826171875
DIP-3645,2025-12-31,300.224609375,465.3197937011719,320.4784240722656,2169.867919921875,1119.4403076171875,511.1890869140625
DIP-3646,2025-01-31,915.1267700195312,980.2072143554688,823.4974365234375,2557.984130859375,1490.4676513671875,962.095703125
DIP-3646,2025-02-28,347.2826232910156,536.0494384765625,346.0342102050781,2440.731201171875,1100.1007080078125,476.877685546875
DIP-3646,2025-03-31,6489.166015625,6327.3056640625,6298.70458984375,7092.8388671875,2818.45556640625,2428.602783203125
DIP-3646,2025-04-30,236.80291748046875,408.5373840332031,248.11280822753903,2223.073486328125,934.1806030273438,387.4017639160156
DIP-3646,2025-05-31,306.2737731933594,484.1717224121094,331.0443725585937,2294.63818359375,972.162841796875,426.41253662109375
DIP-3646,2025-06-30,269.9017639160156,441.9036865234375,282.62420654296875,2349.305419921875,950.9017944335938,391.41064453125
DIP-3646,2025-07-31,246.437255859375,432.8586730957031,283.7781982421875,2335.575439453125,986.5982055664062,413.5804748535156
DIP-3646,2025-08-31,236.9150848388672,400.10394287109375,276.771240234375,2165.15087890625,987.8212890625,419.3460083007813
DIP-3646,2025-09-30,302.8852844238281,461.1742858886719,327.63433837890625,2237.8173828125,1160.00439453125,509.9378967285156
DIP-3646,2025-10-31,595.3003540039062,743.8897094726562,593.4258422851562,2593.566650390625,1486.822509765625,763.1305541992188
DIP-3646,2025-11-30,411.9974670410156,552.258544921875,409.92523193359375,2328.518310546875,1228.35107421875,605.9353637695312
DIP-3646,2025-12-31,296.6197814941406,455.3219299316406,322.08746337890625,2209.911376953125,1121.537353515625,505.9594421386719
DIP-3647,2025-01-31,658.33837890625,764.0538940429688,586.1742553710938,2517.035400390625,1334.38720703125,739.3681640625
